"type","X2","騰落率","リスク（標準偏差）","シャープレシオ"
"資産複合（バランス型）","6ヶ月","-0.37","10.13","-0.48"
"資産複合（バランス型）","1年","1.57","8.17","-0.02"
"資産複合（バランス型）","3年","19.46","10.13","0.60"
"資産複合（バランス型）","5年","22.70","9.37","0.45"
"資産複合（バランス型）","10年","107.19","8.90","0.84"
"追加型/国内/株式","6ヶ月","-2.43","16.83","-0.07"
"追加型/国内/株式","1年","-1.46","14.92","0.01"
"追加型/国内/株式","3年","33.95","18.22","0.64"
"追加型/国内/株式","5年","37.15","17.55","0.45"
"追加型/国内/株式","10年","251.73","17.37","0.80"
"追加型/海外/株式","6ヶ月","-2.43","20.62","-0.14"
"追加型/海外/株式","1年","1.11","17.78","0.15"
"追加型/海外/株式","3年","41.90","21.71","0.67"
"追加型/海外/株式","5年","49.30","19.97","0.52"
"追加型/海外/株式","10年","209.28","19.81","0.67"
"追加型/内外/株式","6ヶ月","-8.56","24.12","-0.49"
"追加型/内外/株式","1年","-3.04","19.96","0.02"
"追加型/内外/株式","3年","47.72","20.14","0.74"
"追加型/内外/株式","5年","55.33","18.27","0.57"
"追加型/内外/株式","10年","237.93","17.14","0.80"
